index,value0,value1,value2,value3,value4,value5,value6,value7
0,8普,6普,891,1130,1671,1661,1661,1577
1,8普,56炮,937,1223,1763,1753,1752,1668
2,7普,5普,1104,1502,2121,2111,2110,2026
3,7普,45炮,1143,1579,2199,2189,2189,2105
4,7南瓜,5普,1251,1828,2397,2387,2386,2303
5,7南瓜,45炮,1300,1926,2496,2486,2485,2401
6,6普,4普,1192,1589,2340,2330,2329,2246
7,6普,34炮,1230,1666,2418,2408,2408,2324
8,6南瓜,4普,1338,1915,2619,2609,2608,2522
9,6南瓜,34炮,1388,2014,2717,2707,2706,2620
10,5普,3普,1280,1677,2560,2550,2549,2465
11,5普,23炮,1318,1753,2637,2627,2627,2543
12,5南瓜,3普,1426,2002,2838,2828,2827,2744
13,5南瓜,23炮,1476,2101,2936,2926,2925,2842
14,4普,2普,1368,1764,2780,2770,2769,2685
15,4普,12炮,1405,1840,2860,2850,2849,2762
16,4南瓜,2普,1514,2089,3057,3047,3046,2963
17,4南瓜,12炮,1563,2188,3156,3146,3145,3061
18,3普,1普,1455,1852,3000,2990,2989,2905
19,3普,1炮,1296,1533,2684,2674,2673,2589
20,3南瓜,1普,1601,2176,3276,3266,3265,3182
21,3南瓜,1炮,1422,1819,2917,2907,2906,2822
